天,Mundschutz: (德國),masque: (法國),mask: (美國),口罩: (台灣),마스크: (南韓)
2020-01-01,<1,1,1,<1,1
2020-01-02,<1,1,1,1,1
2020-01-03,<1,1,1,<1,1
2020-01-04,<1,1,1,1,1
2020-01-05,<1,2,2,1,1
2020-01-06,<1,1,1,1,1
2020-01-07,<1,1,1,1,1
2020-01-08,<1,1,1,2,1
2020-01-09,<1,2,1,1,1
2020-01-10,<1,1,1,1,<1
2020-01-11,<1,1,1,1,1
2020-01-12,<1,2,1,<1,1
2020-01-13,<1,1,1,1,1
2020-01-14,<1,1,1,1,1
2020-01-15,<1,1,1,1,1
2020-01-16,<1,1,1,1,1
2020-01-17,<1,1,1,1,1
2020-01-18,<1,1,1,1,1
2020-01-19,<1,2,1,1,1
2020-01-20,<1,1,1,2,1
2020-01-21,<1,1,2,10,1
2020-01-22,<1,1,2,15,1
2020-01-23,<1,1,2,13,1
2020-01-24,<1,2,2,11,1
2020-01-25,<1,3,2,14,2
2020-01-26,<1,3,3,27,2
2020-01-27,1,2,3,41,4
2020-01-28,1,2,3,73,7
2020-01-29,1,2,3,82,6
2020-01-30,1,2,3,100,8
2020-01-31,1,2,3,75,9
2020-02-01,<1,2,3,58,7
2020-02-02,<1,2,3,55,7
2020-02-03,<1,2,2,71,8
2020-02-04,<1,2,2,51,6
2020-02-05,<1,2,2,44,6
2020-02-06,<1,2,2,64,6
2020-02-07,<1,2,2,57,5
2020-02-08,<1,2,2,44,5
2020-02-09,<1,2,2,40,3
2020-02-10,<1,2,2,36,5
2020-02-11,<1,2,2,31,4
2020-02-12,<1,1,2,26,3
2020-02-13,<1,1,2,29,3
2020-02-14,<1,1,2,24,2
2020-02-15,<1,1,2,22,2
2020-02-16,<1,2,2,23,1
2020-02-17,<1,2,2,26,2
2020-02-18,<1,2,2,26,3
2020-02-19,<1,2,2,26,5
2020-02-20,<1,1,2,27,8
2020-02-21,<1,1,2,27,10
2020-02-22,<1,2,2,25,12
2020-02-23,1,3,2,22,13
2020-02-24,1,5,2,21,21
2020-02-25,2,6,4,25,22
2020-02-26,4,6,7,24,20
2020-02-27,3,5,7,23,17
2020-02-28,2,6,6,21,21
2020-02-29,1,5,5,20,16
2020-03-01,1,4,4,22,17
2020-03-02,1,4,4,26,21
2020-03-03,1,5,4,19,20
2020-03-04,1,4,3,19,19
2020-03-05,<1,3,3,25,25
2020-03-06,<1,3,3,25,24
2020-03-07,<1,3,3,25,15
2020-03-08,<1,3,3,28,17
2020-03-09,<1,3,3,25,19
2020-03-10,<1,3,3,24,18
2020-03-11,1,3,3,26,21
2020-03-12,1,3,4,44,15
2020-03-13,1,4,4,27,15
2020-03-14,1,5,4,23,13
2020-03-15,1,7,4,25,9
2020-03-16,1,10,4,24,10
2020-03-17,1,10,4,21,10
2020-03-18,2,10,4,27,9
2020-03-19,3,11,5,36,9
2020-03-20,3,13,6,28,9
2020-03-21,4,14,8,27,7
2020-03-22,4,11,8,28,6
2020-03-23,4,9,8,26,7
2020-03-24,4,8,7,24,7
2020-03-25,5,8,6,40,8
2020-03-26,6,8,6,37,7
2020-03-27,8,7,6,28,5
2020-03-28,8,9,7,33,5
2020-03-29,8,8,8,24,4
2020-03-30,12,7,7,33,5
2020-03-31,20,8,10,25,5
2020-04-01,13,8,11,42,4
2020-04-02,10,10,14,38,5
2020-04-03,8,10,23,35,6
2020-04-04,6,32,31,36,5
2020-04-05,5,26,22,32,4
2020-04-06,6,28,18,36,6
2020-04-07,7,27,16,29,4
2020-04-08,5,24,14,44,4
2020-04-09,4,20,13,68,3
2020-04-10,4,15,13,47,4
2020-04-11,3,15,13,48,4
2020-04-12,3,12,10,37,3
2020-04-13,5,16,9,43,4
2020-04-14,7,17,9,46,3
2020-04-15,10,15,10,50,2
2020-04-16,12,16,12,36,3
2020-04-17,10,15,12,31,3
2020-04-18,10,15,13,27,3
2020-04-19,9,20,11,16,3
2020-04-20,15,19,9,18,4
2020-04-21,22,18,9,18,3
2020-04-22,28,18,9,29,3
2020-04-23,19,23,10,25,3
2020-04-24,15,23,9,20,4
2020-04-25,14,20,10,16,4
2020-04-26,12,23,9,11,3
2020-04-27,13,24,8,16,4
2020-04-28,10,28,9,14,4
2020-04-29,8,25,9,15,3
2020-04-30,6,24,9,15,3
2020-05-01,5,23,9,11,3
2020-05-02,5,23,9,8,3
2020-05-03,4,22,8,8,3
2020-05-04,4,30,8,15,3
2020-05-05,4,31,8,10,3
2020-05-06,3,25,8,9,4
2020-05-07,3,22,8,8,4
2020-05-08,3,21,8,7,4
2020-05-09,2,20,9,6,3
